Step Count,iA2,A2_Success,iHipFlexion_max,iHip_Extension_max,cHipFlexion_max,cHip_Extension_max,iSingle_Support,cSingle_Support,iSL,cSL,SLS,iAPGRF_max,cAPGRF_max,iVGRF_max,cVGRF_max
125,2.460235357,0,33.96644974,-4.060655594,29.10018158,-1.134895802,0.399999619,0.440000534,0.477884054,0.501469553,0.011792749,1.453425884,1.24149704,10.03612232,10.47657299
126,2.679121733,1,36.13299942,-1.90566504,30.07283401,-0.592027903,0.400000572,0.420000076,0.461933345,0.503467619,0.020767137,1.463119149,1.365378261,10.01034069,10.77595043
127,2.518983841,0,31.94557381,-5.802082539,26.46143723,-3.539014816,0.440000534,0.399999619,0.473619491,0.507208824,0.016794667,1.498846531,1.154239893,10.02036381,10.87027454
128,2.144202709,0,33.13640976,-5.132174015,30.07031822,-1.688942432,0.380000114,0.420000076,0.480855942,0.453916997,-0.013469473,1.38909328,1.219586849,9.757628441,10.26216984
129,2.971894979,1,34.69039536,-1.405538082,29.30192947,-1.261014104,0.400000572,0.420000076,0.488013864,0.507425785,0.009705961,1.364547253,1.408914566,10.20724297,10.77613735
130,2.241175652,0,32.72268677,-4.750707626,29.74512863,-2.427485943,0.420000076,0.460000992,0.493410707,0.4956761,0.001132697,1.35147047,1.497612953,10.19047356,10.36748505
131,2.334622145,0,33.46813965,-3.145415545,27.95036316,-3.69508791,0.379999161,0.440000534,0.512200058,0.451112866,-0.030543596,1.340073228,1.37728405,10.6303196,10.19750118
132,2.90567112,1,35.62531281,-2.709473848,29.13025475,-2.760652542,0.400001526,0.459999084,0.479764819,0.481400579,0.00081788,1.456759572,1.352332592,9.634758949,10.85809517
133,2.563346386,1,33.73770905,-4.754229546,30.9444313,-0.239383295,0.399999619,0.440000534,0.493038297,0.47874251,-0.007147893,1.416235209,1.388679862,10.37886524,10.80103111
134,2.793652773,1,35.79611588,-2.789018631,28.8478241,-1.771713853,0.399999619,0.440000534,0.479360759,0.485056341,0.002847791,1.492272258,1.256208062,10.17712307,10.82596779
135,2.746275663,1,37.30827332,-2.28218174,30.42677116,-1.01327765,0.380001068,0.440000534,0.471976817,0.499774039,0.013898611,1.4624933,1.501821995,9.954831123,10.81677532
136,2.528385639,0,36.07984924,-3.954374313,32.1071434,0.065412059,0.399999619,0.420000076,0.495230317,0.487809241,-0.003710538,1.398942947,1.414878368,10.23696232,10.23805904
137,2.725418568,1,34.2884903,-2.980243683,31.58880997,-2.050353765,0.399999619,0.420000076,0.476622164,0.466305524,-0.00515832,1.431747794,1.398108125,10.60542011,10.7784729
138,2.55226326,1,34.39666748,-3.458860397,29.60400772,-3.871829748,0.399999619,0.460000992,0.493307859,0.478985429,-0.007161215,1.294508696,1.493533969,10.38526058,10.87163162
139,2.394960642,0,33.59440613,-4.637473583,27.75395966,-4.786784649,0.399999619,0.440000534,0.51597023,0.505920827,-0.005024701,1.320743322,1.354682088,9.987736702,10.59290409
140,2.574748278,1,35.47354507,-2.145281315,26.25253868,-3.670534372,0.400001526,0.439998627,0.496854454,0.473047107,-0.011903673,1.32444334,1.397129416,9.716495514,11.37035561
141,2.158175707,0,34.62553024,-4.164184093,28.60210991,-2.30584383,0.379999161,0.439998627,0.503903091,0.469797969,-0.017052561,1.390786886,1.432931185,9.736310959,10.42956066
142,2.720789194,1,34.77984238,-3.452059269,28.14128876,-4.446329594,0.399999619,0.460000992,0.493086874,0.444699079,-0.024193898,1.310943484,1.295053482,9.854011536,10.40511322
143,2.275906801,0,36.14883041,-5.270650387,28.98677635,-2.08376193,0.399999619,0.439998627,0.483519793,0.453528136,-0.014995828,1.424997211,1.306204081,10.196208,10.60702133
144,2.432093859,0,35.51963806,-4.607534409,29.68021202,-1.437030792,0.400001526,0.459999084,0.476928115,0.456543893,-0.010192111,1.568104267,1.417426944,9.814760208,11.02206802
145,2.495844126,0,33.23791122,-6.113303185,26.48016357,-4.188989639,0.459999084,0.420001984,0.493110836,0.475532442,-0.008789197,1.404899955,1.324252129,9.587018967,10.1678648
146,2.128357172,0,36.35139084,-2.790385485,29.61595345,-3.748754501,0.440002441,0.439998627,0.516463816,0.486603916,-0.01492995,1.388282299,1.528767228,10.11462975,10.43881321
147,2.491194487,0,33.4076767,-7.526834488,30.95513535,-0.454980671,0.400001526,0.459999084,0.52965194,0.46817711,-0.030737415,1.649368167,1.389521837,9.420825958,10.90275478
148,3.361818552,1,35.43621826,-4.205764771,27.55561256,-3.025877714,0.440002441,0.439998627,0.48597756,0.462738842,-0.011619359,1.551542997,1.205602527,10.05764294,10.48257828
149,2.188477516,0,31.75174332,-3.839492321,27.59062195,-5.218677044,0.419998169,0.479999542,0.480608314,0.537331223,0.028361455,1.392978549,1.488670349,9.650154114,10.01930332
